Files already downloaded and verified
Files already downloaded and verified

===> epoch: 1/200
train:
 1/782 [>...............................................................................]  Step: 5s195ms | Tot: 0ms | Loss: 4.6259 | Acc: 1.562% (1/64)
 2/782 [>...............................................................................]  Step: 136ms | Tot: 136ms | Loss: 4.6447 | Acc: 0.781% (1/128)
 3/782 [>...............................................................................]  Step: 133ms | Tot: 270ms | Loss: 4.6311 | Acc: 0.521% (1/192)
 4/782 [>...............................................................................]  Step: 133ms | Tot: 403ms | Loss: 4.6366 | Acc: 0.391% (1/256)
 5/782 [>...............................................................................]  Step: 133ms | Tot: 536ms | Loss: 4.6366 | Acc: 0.625% (2/320)
 6/782 [>...............................................................................]  Step: 132ms | Tot: 669ms | Loss: 4.6378 | Acc: 0.521% (2/384)
 172/782 [=================>..............................................................]  Step: 131ms | Tot: 22s900ms | Loss: nan | Acc: 1.072% (118/11008)
 173/782 [=================>..............................................................]  Step: 131ms | Tot: 23s31ms | Loss: nan | Acc: 1.075% (119/11072)
 174/782 [=================>..............................................................]  Step: 131ms | Tot: 23s162ms | Loss: nan | Acc: 1.069% (119/11136)
 175/782 [=================>..............................................................]  Step: 133ms | Tot: 23s296ms | Loss: nan | Acc: 1.062% (119/11200)
 176/782 [==================>.............................................................]  Step: 131ms | Tot: 23s427ms | Loss: nan | Acc: 1.056% (119/11264)
 177/782 [==================>.............................................................]  Step: 130ms | Tot: 23s558ms | Loss: nan | Acc: 1.050% (119/11328)
 178/782 [==================>.............................................................]  Step: 134ms | Tot: 23s692ms | Loss: nan | Acc: 1.045% (119/11392)
 179/782 [==================>.............................................................]  Step: 133ms | Tot: 23s826ms | Loss: nan | Acc: 1.039% (119/11456)
 180/782 [==================>.............................................................]  Step: 132ms | Tot: 23s958ms | Loss: nan | Acc: 1.050% (121/11520)
 181/782 [==================>.............................................................]  Step: 133ms | Tot: 24s92ms | Loss: nan | Acc: 1.045% (121/11584)
 182/782 [==================>.............................................................]  Step: 133ms | Tot: 24s225ms | Loss: nan | Acc: 1.047% (122/11648)
 183/782 [==================>.............................................................]  Step: 133ms | Tot: 24s359ms | Loss: nan | Acc: 1.042% (122/11712)
 184/782 [==================>.............................................................]  Step: 132ms | Tot: 24s491ms | Loss: nan | Acc: 1.036% (122/11776)
